2,1000
-164188817.870399,689196885.630403,4512636.700000
58928862.349199,-3798726.908063,4544193.600000
-141076577.300447,693163662.326022,4544193.600000
59038863.680858,-3838757.797516,4575750.500000
-117734867.742013,696417406.101982,4575750.500000
59146302.993075,-3869860.773830,4607307.400000
-94184915.125973,698945481.719991,4607307.400000
59251450.793061,-3891886.351873,4638864.300000
-70448706.502174,700735738.905102,4638864.300000
59354587.019338,-3904691.597082,4670421.200000
-46548995.505006,701776559.817888,4670421.200000
59456001.076564,-3908140.740378,4701978.100000
-22509305.184055,702056909.035344,4701978.100000
59555991.833981,-3902105.823122,4733535.000000
1646072.121470,701566385.973504,4733535.000000
59654867.583388,-3886467.370889,4765091.900000
25892078.199503,700295279.652557,4765091.900000
59752945.952347,-3861115.094408,4796648.800000
50202896.019335,698234625.669230,4796648.800000
59850553.768282,-3825948.615492,4828205.700000
74551960.777736,695376265.201596,4828205.700000
59948026.869054,-3780878.215298,4859762.600000
98911975.295979,691712905.828076,4859762.600000
60045709.855579,-3725825.601650,4891319.500000
123254930.126803,687238183.895696,4891319.500000
60143955.782153,-3660724.691536,4922876.400000
147552128.725185,681946728.122683,4922876.400000
60243125.780262,-3585522.404279,4954433.300000
171774218.025562,675834224.067835,4954433.300000
60343588.611877,-3500179.460175,4985990.200000
195891224.750135,668897479.044362,4985990.200000
60445720.148568,-3404671.178711,5017547.100000
219872597.747225,661134486.999688,5017547.100000
60549902.773159,-3298988.269780,5049104.000000
243687256.624733,652544492.826164,5049104.000000
60656524.701215,-3183137.610622,5080660.900000
267303646.900835,643128055.511707,5080660.900000
60765979.220244,-3057143.000567,5112217.800000
290689801.841748,632887109.485476,5112217.800000
60878663.845315,-2921045.885007,5143774.700000
313813411.094275,621825023.463181,5143774.700000
60994979.390629,-2774906.039497,5175331.600000
336641896.148882,609946656.051264,5175331.600000
61115328.957627,-2618802.204388,5206888.500000
359142492.587329,597258407.330598,5206888.500000
61240116.841309,-2452832.660045,5238445.400000
381282338.977889,583768265.610492,5238445.400000
61369747.357679,-2277115.732451,5270002.300000
403028572.181706,569485848.524532,5270002.300000
61504623.596533,-2091790.218918,5301559.200000
424348428.727012,554422437.632939,5301559.200000
61645146.105206,-1897015.723726,5333116.100000
445209351.795334,538591005.703599,5333116.100000
61791711.510316,-1692972.893792,5364673.000000
465579103.247430,522006235.867198,5364673.000000
61944711.085993,-1479863.544963,5396229.900000
485425879.998773,504684531.882424,5396229.900000
62104529.278518,-1257910.670254,5427786.800000
504718433.937762,486644018.805920,5427786.800000
62271542.198698,-1027358.322320,5459343.700000
523426194.467392,467904533.439200,5459343.700000
62446116.094549,-788471.363612,5490900.600000
541519392.646115,448487604.021051,5490900.600000
62628605.818079,-541535.079086,5522457.500000
558969185.809495,428416418.748538,5522457.500000
62819353.300891,-286854.647969,5554014.400000
575747781.474273,407715782.841355,5554014.400000
63018686.054129,-24754.472862,5585571.300000
591828559.264034,386412064.011116,5585571.300000
63226915.708792,244422.633543,5617128.200000
607186189.553608,364533126.356643,5617128.200000
63444336.612682,520316.401812,5648685.100000
621796747.510512,342108252.875250,5648685.100000
63671224.500160,802550.194685,5680242.000000
635637821.217901,319168056.954716,5680242.000000
63907835.250508,1090732.224907,5711798.900000
648688612.596275,295744383.386857,5711798.900000
64154403.749930,1384456.893192,5743355.800000
660930029.901008,271870199.616842,5743355.800000
64411142.871170,1683306.235491,5774912.700000
672344770.659388,247579478.107987,5774912.700000
64678242.583363,1986851.466858,5806469.600000
682917394.023160,222907070.855010,5806469.600000
64955869.203028,2294654.607528,5838026.500000
692634381.648309,197888577.215251,5838026.500000
65244164.795213,2606270.175386,5869583.400000
701484186.370281,172560206.343076,5869583.400000
65543246.731669,2921246.927902,5901140.300000
709457268.116086,146958635.604172,5901140.300000
65853207.410635,3239129.635793,5932697.200000
716546116.680616,121120866.410987,5932697.200000
66174114.140429,3559460.870234,5964254.100000
722745261.188131,95084078.956339,5964254.100000
66506009.186644,3881782.785388,5995811.000000
728051266.256224,68885487.328323,5995811.000000
66848909.980347,4205638.878276,6027367.900000
732462715.073503,42562196.466140,6027367.900000
67202809.482376,4530575.708694,6058924.800000
735980179.788779,16151062.364494,6058924.800000
67567676.696712,4856144.562795,6090481.700000
738606179.784050,-10311443.144428,6090481.700000
67943457.323925,5181903.045275,6122038.600000
740345128.561972,-36789361.804710,6122038.600000
68330074.543995,5507416.586561,6153595.500000
741203270.117226,-63247371.442274,6153595.500000
68727429.916388,5832259.853136,6185152.400000
741188605.777690,-89650900.597501,6185152.400000
69135404.384118,6156018.051004,6216709.300000
740310812.593670,-115966234.471456,6216709.300000
69553859.367694,6478288.114222,6248266.200000
738581154.420646,-142160611.531327,6248266.200000
69982637.934357,6798679.772473,6279823.100000
736012386.882955,-168202310.283154,6279823.100000
70421566.027775,7116816.493594,6311380.000000
732618657.423168,-194060725.881578,6311380.000000
70870453.743447,7432336.298942,6342936.900000
728415401.635987,-219706436.403400,6342936.900000
71329096.635411,7744892.451297,6374493.800000
723419237.058166,-245111258.760804,6374493.800000
71797277.040403,8054154.016703,6406050.700000
717647855.539741,-270248294.368373,6406050.700000
72274765.406393,8359806.303195,6437607.600000
711119915.259358,-295091964.803160,6437607.600000
72761321.613361,8661551.180714,6469164.500000
703854933.370702,-319618037.807562,6469164.500000
73256696.275221,8959107.287674,6500721.400000
695873180.180906,-343803644.079362,6500721.400000
73760632.012966,9252210.130617,6532278.300000
687195575.668378,-367627285.371693,6532278.300000
74272864.690302,9540612.084147,6563835.200000
677843589.049450,-391068834.487737,6563835.200000
74793124.604270,9824082.298910,6595392.100000
667839142.003317,-414109527.801251,6595392.100000
75321137.624597,10102406.525767,6626949.000000
657204516.065229,-436731950.965204,6626949.000000
75856626.276674,10375386.864524,6658505.900000
645962264.600730,-458920018.488207,6658505.900000
76399310.764243,10642841.445632,6690062.800000
634135129.680846,-480658947.863125,6690062.800000
76948909.928930,10904604.053214,6721619.700000
621745964.090573,-501935228.925959,6721619.700000
77505142.144758,11160523.697544,6753176.600000
608817658.622097,-522736589.107140,6753176.600000
78067726.146684,11410464.144856,6784733.500000
595373074.730450,-543051955.213487,6784733.500000
78636381.793023,11654303.411936,6816290.400000
581434982.563320,-562871412.348646,6816290.400000
79210830.762321,11891933.232560,6847847.300000
567026004.318572,-582186160.544388,6847847.300000
79790797.185869,12123258.502321,6879404.200000
552168562.832845,-600988469.636042,6879404.200000
80376008.217574,12348196.707913,6910961.100000
536884835.261979,-619271632.873710,6910961.100000
80966194.543334,12566677.346367,6942518.000000
521196711.678812,-637029919.717980,6942518.000000
81561090.832403,12778641.339257,6974074.900000
505125758.385578,-654258528.225475,6974074.900000
82160436.133523,12984040.446304,7005631.800000
488693185.716141,-670953537.386560,7005631.800000
82763974.218781,13182836.682345,7037188.700000
471919820.087174,-687111859.735581,7037188.700000
83371453.878282,13375001.741084,7068745.600000
454826080.046404,-702731194.513654,7068745.600000
83982629.168836,13560516.428634,7100302.500000
437431956.059684,-717809981.625614,7100302.500000
84597259.619839,13739370.109340,7131859.400000
