9,1000
107692360141.797150,11031095987.404831,315569.000000
227785493279.726013,7604193769.607470,315569.000000
56136018915.201691,14992968104.405388,315569.000000
15432.196543,112.247978,347125.900000
778288002302.138672,4547330162.048268,347125.900000
1425996408152.903320,3332406369.702881,347125.900000
2870999115480.086914,2360455922.840927,347125.900000
4496999639632.575195,1874479819.267216,347125.900000
149275273987.969818,10338227939.120092,347125.900000
107579669558.149536,12130408211.917080,347125.900000
227760050188.317902,8364332908.007917,347125.900000
55746719857.036812,16458667456.202936,347125.900000
18517.570003,149.612492,378682.800000
778285602770.757568,4960719176.075755,378682.800000
1425995689783.877686,3635351852.937326,378682.800000
2870998938576.116699,2575042777.121237,378682.800000
4496999567559.091797,2044887065.689621,378682.800000
149210359623.376862,11276582767.601065,378682.800000
107455758270.186691,13228571016.736437,378682.800000
227732063951.704041,9124387135.772135,378682.800000
55319590934.077972,17914262966.653370,378682.800000
21883.037152,194.424952,410239.700000
778282985103.202759,5374106914.914267,410239.700000
1425994906108.723389,3938297184.818731,410239.700000
2870998745589.971680,2789629618.257609,410239.700000
4496999488933.473633,2215294309.396507,410239.700000
149139555399.381500,12214529680.849171,410239.700000
107320639743.858734,14325470050.045986,410239.700000
227701534894.222229,9884347966.434742,410239.700000
54854936895.045578,19358779411.213390,410239.700000
25528.497734,247.353649,441796.600000
778280149300.250977,5787493262.639479,441796.600000
1425994057127.477783,4241242351.587752,441796.600000
2870998536521.653320,3004216445.055140,441796.600000
4496999403755.721680,2385701550.141009,441796.600000
149062864235.128937,13152031681.152849,441796.600000
107174328610.283859,15420991115.013939,441796.600000
227668463368.380005,10644206914.735846,441796.600000
54353088089.009010,20791250833.504166,441796.600000
29453.843670,309.064749,473353.500000
778277095362.741211,6200878103.327539,473353.500000
1425993142840.181396,4544187339.485049,473353.500000
2870998311371.163086,3218803256.318927,473353.500000
4496999312025.834961,2556108787.676261,473353.500000
148980289282.846466,14089051791.450567,473353.500000
107016840664.354813,16515020181.722866,473353.500000
227632849754.851074,11403955496.713425,473353.500000
53814400222.367027,22210721260.143654,473353.500000
33658.959102,380.222137,504910.400000
778273823291.574463,6614261321.055101,504910.400000
1425992163246.877441,4847132134.751291,504910.400000
2870998070138.501953,3433390050.854066,504910.400000
4496999213743.814453,2726516021.755398,504910.400000
148891833927.723877,15025553056.808319,504910.400000
106848192863.221024,17607443399.097679,504910.400000
227594694462.471588,12163585229.795712,504910.400000
53239254092.729202,23616245411.890087,504910.400000
38143.720450,461.487267,536467.300000
778270333087.714233,7027642799.899356,536467.300000
1425991118347.612061,5150076723.627151,536467.300000
2870997812823.671387,3647976827.465655,536467.300000
4496999108909.660156,2896923252.131555,536467.300000
148797501787.784149,15961498545.897013,536467.300000
106668403324.646240,18698147106.831024,536467.300000
227553997928.235992,12923087632.893581,536467.300000
52628055299.559387,25006889410.160740,536467.300000
42907.996465,553.519014,568024.200000
778266624752.186157,7441022423.938067,568024.200000
1425990008142.435059,5453021092.353307,568024.200000
2870997539426.673340,3862563584.958789,568024.200000
4496998997523.372070,3067330478.557865,568024.200000
148697296713.744598,16896851352.469683,568024.200000
106477491325.241196,19787017847.304688,568024.200000
227510760617.292572,13682454226.492949,568024.200000
51981233931.488701,26381731477.969982,568024.200000
47951.648291,656.973522,599581.100000
778262698286.077881,7854400077.249607,599581.100000
1425988832631.398438,5755965227.170446,599581.100000
2870997249947.509277,4077150322.138566,599581.100000
4496998879584.951172,3237737700.787464,599581.100000
148591222788.868347,17831574596.838463,599581.100000
106275477298.570908,20873942377.505630,599581.100000
227464983022.938782,14441676532.747156,599581.100000
51299244230.253426,27739862634.313004,599581.100000
53274.529529,772.504061,631138.000000
778258553690.539551,8267775643.912985,631138.000000
1425987591814.557617,6058909114.319263,631138.000000
2870996944386.180664,4291737037.810083,631138.000000
4496998755094.396484,3408144918.573486,631138.000000
148479284328.806213,18765631427.351265,631138.000000
106062382833.136368,21958807680.935242,631138.000000
227416665666.616180,15200746075.569378,631138.000000
50582564231.262932,29080387381.006779,631138.000000
58876.486311,900.760875,662694.900000
778254190966.783325,8681149008.007887,662694.900000
1425986285691.971191,6361852740.040458,662694.900000
2870996622742.689453,4506323730.778437,662694.900000
4496998624051.708984,3578552131.669066,662694.900000
148361485881.428925,19698985021.868099,662694.900000
105838230670.230270,23041500979.510406,662694.900000
227365809097.905151,15959654380.725012,662694.900000
49831695380.853798,30402424380.987614,662694.900000
64757.357366,1042.391044,694251.800000
778249610116.083618,9094520053.614708,694251.800000
1425984914263.700195,6664796090.574738,694251.800000
2870996285017.038086,4720910399.848722,694251.800000
4496998486456.888672,3748959339.827339,694251.800000
148237832226.649780,20631598589.236969,694251.800000
105603044701.666489,24121909745.454945,694251.800000
227312413894.519226,16718392975.924080,694251.800000
49047162130.338531,31705107127.055645,694251.800000
70916.974104,1198.038333,725808.700000
778244811139.777100,9507888664.814583,725808.700000
1425983477529.809082,6967739152.162820,725808.700000
2870995931209.228027,4935497043.826038,725808.700000
4496998342309.935547,3919366542.801438,725808.700000
148108328376.237610,21563435370.769260,725808.700000
105356849967.382950,25199921713.179977,725808.700000
227256480662.299164,17476953390.913620,725808.700000
48229511507.010674,32987584600.050423,725808.700000
77355.160693,1368.343061,757365.600000
778239794039.262573,9921254725.689423,757365.600000
1425981975490.365234,7270681911.045429,757365.600000
2870995561319.261230,5150083661.515481,757365.600000
4496998191610.849609,4089773740.344499,757365.600000
147972979573.620117,22494458641.714600,757365.600000
105099672652.917740,26275424891.151783,757365.600000
227198010035.206665,18235327157.570087,757365.600000
47379312662.322388,34249021915.438866,757365.600000
84071.734149,1553.941953,788922.500000
778234558816.001099,10334618120.321951,788922.500000
1425980408145.438965,7573624353.463299,788922.500000
2870995175347.140625,5364670251.722148,788922.500000
4496998034359.631836,4260180932.209655,788922.500000
147831791293.677612,23424631712.735065,788922.500000
104831540086.758179,27348307573.745659,788922.500000
227137002675.317841,18993505809.991741,788922.500000
46497156397.505356,35488600957.297127,788922.500000
91066.504422,1755.468010,820479.400000
778229105471.515991,10747978732.795731,820479.400000
1425978775495.103760,7876566465.657171,820479.400000
2870994773292.867676,5579256813.251135,820479.400000
4496997870556.281250,4430588118.150043,820479.400000
147684769242.527130,24353917931.378727,820479.400000
104552480737.562500,28418458353.084320,820479.400000
227073459272.816437,19751480884.591034,820479.400000
45583654666.961349,36705520998.671570,820479.400000
98339.274493,1973.550373,852036.300000
778223434007.392700,11161336447.195208,852036.300000
1425977077539.435791,8179508233.867800,852036.300000
2870994355156.445312,5793843344.907539,852036.300000
4496997700200.798828,4600995297.918795,852036.300000
147531919357.296844,25282280683.552425,852036.300000
104262524211.254105,29485766130.859364,852036.300000
227007380545.986572,20509243920.186996,852036.300000
44639440059.804405,37898999307.311043,852036.300000
105889.840470,2208.814191,883593.200000
778217544425.278931,11574691147.605734,883593.200000
1425975314278.514404,8482449644.335945,883593.200000
2870993920937.875977,6008429845.496459,883593.200000
4496997523293.185547,4771402471.269046,883593.200000
147373247805.890900,26209683394.993725,883593.200000
103961701247.988113,30550120130.134266,883593.200000
226938767241.205322,21266786458.097622,883593.200000
43665165259.992088,39068271735.772995,883593.200000
113717.991689,2461.880493,915150.100000
778211436726.884521,11988042718.113611,915150.100000
1425973485712.421875,8785390683.302378,915150.100000
2870993470637.162109,6223016313.822989,915150.100000
4496997339833.440430,4941809637.953931,915150.100000
147208760986.744720,27136089532.741978,915150.100000
103650043718.990005,31611409907.127445,915150.100000
226867620132.934998,22024100042.232235,915150.100000
42661502485.538887,40212593294.919991,915150.100000
121823.510822,2733.366063,946707.000000
778205110913.981567,12401391042.806118,946707.000000
1425971591841.243652,9088331337.007881,946707.000000
2870993004254.306641,6437602748.692228,946707.000000
4496997149821.564453,5112216797.726584,946707.000000
147038465528.570435,28061462606.608437,946707.000000
103327584623.266220,32669525362.973839,946707.000000
226793940023.715057,22781176219.183857,946707.000000
41629142907.359726,41331238709.840324,946707.000000
130206.173982,3023.883317,978263.900000
778198566988.404419,12814736005.771547,978263.900000
1425969632665.067871,9391271591.693249,978263.900000
2870992521789.312012,6652189148.909273,978263.900000
4496996953257.557617,5282623950.340141,978263.900000
146862368290.092926,28985766170.645321,978263.900000
102994358084.186707,33724356755.463486,978263.900000
226717727744.153687,23538006538.321568,978263.900000
40568796048.345894,42423502957.247406,978263.900000
138865.750839,3334.040185,1009820.800000
778191804952.049561,13228077491.099239,1009820.800000
1425967608183.986084,9694211433.599283,1009820.800000
2870992023242.181641,6866775513.279220,1009820.800000
4496996750141.420898,5453031095.547735,1009820.800000
146680476359.776123,29908963824.613800,1009820.800000
102650399345.939041,34775794710.755585,1009820.800000
226638984152.919220,24294582551.882854,1009820.800000
39481189163.329102,43488701783.436684,1009820.800000
147802.004732,3664.439993,1041377.700000
778184824806.875610,13641415382.879618,1041377.700000
1425965518398.092285,9997150848.966801,1041377.700000
2870991508612.917969,7081361840.607166,1041377.700000
4496996540473.154297,5623438233.102501,1041377.700000
146492797055.539673,30831019215.450806,1041377.700000
102295744769.854340,35823730235.066467,1041377.700000
226557710136.731140,25050895815.065945,1041377.700000
38367066600.641632,44526172201.906525,1041377.700000
157014.692792,4015.681354,1072934.600000
778177626554.903564,14054749565.204216,1072934.600000
1425963363307.484131,10300089824.036629,1072934.600000
2870990977901.524414,7295948129.698209,1072934.600000
4496996324252.757812,5793845362.757573,1072934.600000
146299337924.466034,31751896038.734608,1072934.600000
101930431830.604614,36868054726.329918,1072934.600000
226473906610.350800,25806937886.122143,1072934.600000
37227189146.031509,45535272969.780479,1072934.600000
166503.566062,4388.358057,1104491.500000
778170210198.216553,14468079922.165722,1104491.500000
1425961142912.261719,10603028345.049606,1104491.500000
2870990431108.003906,7510534379.357446,1104491.500000
4496996101480.231445,5964252484.266086,1104491.500000
146100106742.497955,32671558040.149086,1104491.500000
101554499112.271759,37908659985.828346,1104491.500000
226387574516.571838,26562700326.448147,1104491.500000
36062333349.740738,46515385042.202461,1104491.500000
176268.369622,4783.058965,1136048.400000
778162575738.959839,14881406337.858006,1136048.400000
1425958857212.528320,10905966398.246586,1136048.400000
2870989868232.359375,7725120588.389973,1136048.400000
4496995872155.576172,6134659597.381173,1136048.400000
145895111514.126251,33589969016.946613,1136048.400000
101167986304.287949,38945438229.793144,1136048.400000
226298714826.210388,27318174700.678352,1136048.400000
34873290837.602158,47465912003.913803,1136048.400000
186308.842718,5200.367913,1167605.300000
778154723179.340942,15294728696.376152,1167605.300000
1425956506208.390137,11208903969.868431,1167605.300000
2870989289274.594727,7939706755.600888,1167605.300000
4496995636278.791992,6305066701.855969,1167605.300000
